gender,race/ethnicity,parental level of education,test preparation course,math score,reading score,writing score,current_score,study_hours_per_week,attendance_rate,participation_level,homework_completion,extracurricular_activities,sleep_hours_per_night,internet_access,previous_grade
female,group E,bachelor's degree,none,65,73,75,71.0,19.4,97.0,medium,often,no,6.0,yes,C
male,group D,high school,completed,78,77,80,78.33,16.1,100.0,high,sometimes,no,7.1,yes,A
male,group B,associate's degree,none,67,62,60,63.0,5.1,89.4,low,sometimes,no,6.1,yes,C
male,group A,some high school,completed,46,41,43,43.33,4.7,89.0,low,sometimes,no,5.9,yes,C
male,group E,associate's degree,completed,71,74,68,71.0,13.1,99.4,medium,always,no,7.7,no,B
male,group C,high school,completed,40,46,50,45.33,4.6,86.8,low,sometimes,no,6.4,yes,C
male,group D,associate's degree,none,90,87,75,84.0,14.3,90.9,high,often,yes,7.1,yes,A
male,group A,some college,completed,81,78,81,80.0,13.4,88.1,high,often,yes,8.2,yes,A
male,group D,some high school,none,56,54,52,54.0,9.9,87.1,medium,rarely,no,5.1,yes,F
female,group C,associate's degree,completed,67,84,81,77.33,13.8,86.6,low,often,yes,7.0,yes,B
male,group B,associate's degree,none,80,76,64,73.33,12.9,100.0,low,always,yes,7.8,yes,C
female,group C,associate's degree,completed,74,75,83,77.33,19.8,91.5,high,often,yes,7.7,yes,A
male,group A,some college,none,69,67,69,68.33,10.5,93.6,high,often,no,6.6,yes,B
male,group E,some college,completed,99,87,81,89.0,16.2,96.5,high,always,yes,7.7,yes,A
male,group C,some high school,none,51,52,44,49.0,5.6,88.9,low,rarely,no,6.8,yes,D
female,group B,associate's degree,none,53,71,67,63.67,11.2,85.2,low,rarely,no,7.1,yes,D
female,group D,high school,none,49,57,52,52.67,9.3,92.0,medium,sometimes,yes,6.6,yes,D
female,group B,associate's degree,none,73,76,80,76.33,12.8,100.0,high,sometimes,yes,9.0,yes,C
male,group B,bachelor's degree,none,66,60,57,61.0,10.9,87.8,low,sometimes,no,6.8,yes,C
male,group D,bachelor's degree,completed,67,61,68,65.33,10.8,99.1,high,sometimes,no,7.5,yes,D
female,group C,associate's degree,completed,68,67,69,68.0,7.0,84.9,high,sometimes,no,7.8,yes,D
female,group C,bachelor's degree,completed,59,64,75,66.0,9.5,92.2,medium,often,yes,7.0,yes,C
male,group C,high school,none,71,66,65,67.33,11.9,85.1,medium,sometimes,no,6.6,yes,D
female,group D,master's degree,completed,77,82,91,83.33,10.1,100.0,high,always,yes,7.0,yes,B
male,group C,associate's degree,none,83,72,78,77.67,17.4,88.7,high,always,yes,8.5,no,B
male,group B,bachelor's degree,none,63,71,69,67.67,5.9,92.3,low,sometimes,no,6.1,yes,B
female,group D,associate's degree,none,56,65,63,61.33,13.1,99.4,low,often,no,6.6,yes,C
female,group C,high school,completed,67,79,84,76.67,17.9,99.7,low,sometimes,yes,7.6,yes,B
female,group E,high school,none,75,86,79,80.0,18.0,100.0,high,always,yes,8.0,yes,A
female,group C,some college,none,71,81,80,77.33,19.8,97.8,medium,always,yes,8.8,yes,B
female,group C,some high school,none,43,53,53,49.67,6.7,89.1,low,sometimes,yes,6.4,no,F
female,group C,high school,none,41,46,43,43.33,6.4,84.8,low,sometimes,yes,6.0,yes,C
female,group C,some college,none,82,90,94,88.67,27.6,90.6,high,always,yes,8.0,yes,A
male,group C,some college,none,61,61,62,61.33,12.1,81.7,high,rarely,yes,7.5,yes,B
male,group A,some college,none,28,23,19,23.33,4.9,73.2,medium,rarely,no,6.8,yes,F
male,group C,associate's degree,completed,82,75,77,78.0,13.8,100.0,low,always,yes,7.8,yes,B
female,group B,some high school,none,41,55,51,49.0,2.0,79.7,medium,sometimes,no,6.5,no,D
male,group C,high school,none,71,60,61,64.0,8.0,83.4,medium,sometimes,yes,6.7,no,C
male,group C,associate's degree,none,47,37,35,39.67,5.5,82.4,low,rarely,yes,5.1,yes,D
male,group E,associate's degree,completed,62,56,53,57.0,13.2,96.0,low,sometimes,no,6.8,yes,D
male,group B,associate's degree,none,90,78,81,83.0,16.1,93.6,medium,always,no,7.6,yes,A
female,group C,bachelor's degree,none,83,93,95,90.33,29.3,94.1,high,always,yes,7.1,yes,A
female,group B,some college,none,61,68,66,65.0,7.7,98.4,low,sometimes,yes,6.0,yes,C
male,group D,some high school,completed,76,70,69,71.67,14.9,92.0,medium,often,yes,6.9,no,B
male,group C,associate's degree,none,49,51,43,47.67,7.4,82.1,medium,sometimes,no,7.0,yes,C
female,group B,some high school,none,24,38,27,29.67,8.2,86.0,low,rarely,yes,5.6,yes,D
female,group D,some high school,completed,35,55,60,50.0,4.8,84.1,low,rarely,no,6.9,no,C
male,group C,high school,none,58,61,52,57.0,14.0,94.7,medium,sometimes,yes,5.6,yes,C
female,group C,high school,none,61,73,63,65.67,7.5,91.6,high,sometimes,yes,7.9,no,C
female,group B,high school,completed,69,76,74,73.0,19.9,95.2,high,sometimes,yes,6.5,yes,A
male,group D,associate's degree,completed,67,72,67,68.67,11.2,98.5,medium,rarely,no,7.3,yes,C
male,group D,some college,none,79,73,67,73.0,12.6,91.2,high,often,no,7.8,yes,A
female,group C,high school,none,72,80,75,75.67,11.5,85.4,medium,often,yes,8.9,yes,B
male,group B,some college,none,62,61,57,60.0,10.0,93.6,low,sometimes,no,6.9,yes,C
female,group C,bachelor's degree,completed,77,94,95,88.67,15.9,92.9,high,always,yes,8.7,no,B
male,group D,high school,none,75,74,66,71.67,18.5,88.7,high,sometimes,no,8.0,yes,C
male,group E,associate's degree,none,87,74,76,79.0,15.7,91.5,medium,often,yes,8.2,no,A
female,group B,bachelor's degree,none,52,65,69,62.0,12.9,98.8,high,often,no,8.0,yes,B
male,group E,some college,none,66,57,52,58.33,9.8,93.8,low,sometimes,no,5.3,yes,D
female,group C,some college,completed,63,78,80,73.67,15.0,84.8,low,often,no,6.5,yes,B
female,group C,associate's degree,none,46,58,57,53.67,4.6,94.8,medium,rarely,no,5.1,yes,D
female,group C,some college,none,59,71,70,66.67,6.2,88.0,medium,often,no,6.1,yes,C
female,group B,bachelor's degree,none,61,72,70,67.67,8.9,97.6,high,often,no,6.7,yes,C
male,group A,associate's degree,none,63,61,61,61.67,10.6,87.7,medium,sometimes,yes,7.8,yes,C
female,group C,some college,completed,42,66,69,59.0,7.2,80.4,low,rarely,no,5.6,no,D
male,group D,some college,none,59,62,61,60.67,9.4,91.8,medium,often,yes,6.7,no,D
female,group D,some college,none,80,90,89,86.33,32.9,97.2,high,always,yes,7.4,yes,A
female,group B,high school,none,58,62,59,59.67,8.3,97.0,low,rarely,yes,6.9,yes,D
male,group B,some high school,completed,85,84,78,82.33,18.1,100.0,high,always,no,8.3,yes,B
female,group C,some college,none,52,58,58,56.0,10.4,84.3,medium,rarely,yes,6.5,yes,D
female,group D,some high school,none,27,34,32,31.0,6.2,71.4,medium,rarely,yes,5.6,yes,C
male,group C,some college,none,59,60,58,59.0,12.3,99.0,low,sometimes,no,6.7,yes,D
male,group A,bachelor's degree,completed,49,58,60,55.67,8.3,92.8,high,rarely,yes,6.8,no,F
male,group C,high school,completed,69,58,53,60.0,12.5,87.9,medium,sometimes,yes,7.1,yes,B
male,group C,bachelor's degree,none,61,66,61,62.67,12.8,92.6,high,rarely,yes,7.2,yes,C
female,group A,some high school,none,44,64,58,55.33,12.6,80.5,medium,sometimes,yes,6.9,no,D
female,group D,some high school,none,73,84,85,80.67,17.1,96.1,high,always,no,8.7,yes,B
male,group E,some college,none,84,77,71,77.33,12.0,92.7,medium,always,no,8.4,yes,B
female,group C,some college,completed,45,73,70,62.67,14.5,90.8,low,rarely,no,7.5,yes,B
male,group D,some high school,none,74,74,72,73.33,18.4,84.7,high,always,no,6.5,yes,C
female,group D,some college,completed,82,97,96,91.67,25.9,100.0,medium,always,no,8.7,yes,B
female,group D,bachelor's degree,none,59,70,73,67.33,10.5,90.4,low,often,yes,6.6,yes,D
male,group E,associate's degree,none,46,43,41,43.33,7.4,90.4,low,sometimes,no,6.7,no,C
female,group D,some high school,none,80,90,82,84.0,16.7,89.0,high,often,yes,7.7,yes,A
female,group D,master's degree,completed,85,95,100,93.33,29.7,99.2,medium,always,yes,7.9,yes,A
female,group A,some high school,none,71,83,77,77.0,10.6,93.1,high,always,yes,8.3,yes,B
male,group A,bachelor's degree,none,66,64,62,64.0,12.5,83.4,low,sometimes,no,8.0,yes,C
female,group B,associate's degree,none,80,86,83,83.0,11.8,100.0,medium,often,no,8.4,yes,A
male,group C,associate's degree,completed,87,100,95,94.0,23.0,96.6,high,always,yes,7.6,yes,B
male,group C,master's degree,none,79,81,71,77.0,16.0,87.2,low,always,yes,7.2,yes,B
female,group E,some high school,none,38,49,45,44.0,7.2,80.0,low,sometimes,yes,6.4,yes,D
female,group A,some high school,none,38,43,43,41.33,4.5,79.2,low,sometimes,no,5.2,yes,F
female,group E,some college,none,67,76,75,72.67,17.4,100.0,medium,often,no,7.4,yes,A
female,group E,bachelor's degree,none,64,73,70,69.0,10.8,88.1,medium,often,yes,7.7,yes,C
female,group C,associate's degree,none,57,78,67,67.33,14.8,84.5,low,sometimes,yes,7.5,no,C
female,group D,high school,none,62,64,64,63.33,7.6,89.8,medium,rarely,no,7.2,yes,C
male,group D,master's degree,none,73,70,75,72.67,17.1,86.1,low,always,no,6.0,yes,B
male,group E,some high school,completed,73,67,59,66.33,7.7,87.1,low,sometimes,no,7.2,yes,B
female,group D,some college,none,77,68,77,74.0,19.5,100.0,high,always,no,7.1,yes,B
male,group E,some college,none,76,67,67,70.0,17.4,98.1,medium,sometimes,yes,7.8,yes,B
male,group C,associate's degree,completed,57,54,56,55.67,7.7,85.9,high,sometimes,no,5.9,yes,C
female,group C,some high school,completed,65,74,77,72.0,17.1,92.6,medium,always,no,6.1,no,B
male,group A,high school,none,48,45,41,44.67,5.6,75.3,low,rarely,yes,6.0,no,C
female,group B,high school,none,50,67,63,60.0,12.6,88.2,medium,sometimes,yes,6.3,yes,B
female,group C,associate's degree,none,85,89,95,89.67,28.3,100.0,high,always,yes,7.6,yes,A
male,group B,some high school,none,74,63,57,64.67,10.2,92.3,low,sometimes,no,7.6,yes,D
male,group D,some high school,none,60,59,54,57.67,14.5,85.8,low,sometimes,no,6.8,yes,D
female,group C,some high school,completed,59,54,67,60.0,10.5,90.1,low,often,no,7.7,no,C
male,group A,some college,none,53,43,43,46.33,5.5,87.7,low,sometimes,yes,6.4,yes,C
female,group A,some college,none,49,65,55,56.33,6.7,78.8,medium,often,no,5.3,yes,C
female,group D,high school,completed,88,99,100,95.67,18.3,100.0,high,always,yes,7.4,yes,A
female,group C,high school,none,54,59,62,58.33,7.5,80.6,low,sometimes,yes,6.9,yes,D
female,group C,some high school,none,63,73,68,68.0,9.2,91.2,medium,sometimes,no,6.3,yes,C
male,group B,associate's degree,completed,65,65,63,64.33,13.7,94.1,medium,rarely,no,6.2,yes,B
female,group B,associate's degree,none,82,80,77,79.67,16.9,90.7,medium,always,yes,8.0,yes,A
female,group D,high school,completed,52,57,56,55.0,12.9,79.7,medium,sometimes,no,6.4,yes,C
male,group D,associate's degree,completed,87,84,85,85.33,29.5,99.2,high,always,no,8.0,yes,B
female,group D,master's degree,completed,70,71,74,71.67,14.5,87.6,high,always,no,6.2,yes,C
male,group E,some college,completed,84,83,78,81.67,19.0,91.3,medium,always,yes,8.1,no,A
male,group D,associate's degree,none,71,66,60,65.67,11.5,83.4,medium,often,no,8.0,yes,C
male,group B,some high school,completed,63,67,67,65.67,7.2,88.9,medium,rarely,yes,6.9,yes,C
female,group C,bachelor's degree,completed,51,72,79,67.33,12.1,82.6,medium,sometimes,no,6.0,no,C
male,group E,high school,none,84,73,69,75.33,15.5,86.4,high,often,no,8.5,no,B
male,group C,bachelor's degree,completed,71,74,68,71.0,11.4,97.1,medium,always,yes,6.4,no,B
male,group C,associate's degree,none,74,73,67,71.33,19.1,99.0,medium,always,no,7.2,yes,A
male,group D,some college,none,68,59,62,63.0,9.7,95.3,low,sometimes,yes,6.5,yes,C
male,group E,high school,completed,57,56,54,55.67,14.1,88.7,low,rarely,no,5.8,no,D
female,group C,associate's degree,completed,82,93,93,89.33,30.9,95.2,high,always,no,8.3,yes,A
female,group D,high school,completed,57,58,64,59.67,6.9,93.8,low,sometimes,yes,6.3,no,D
female,group D,master's degree,completed,47,58,67,57.33,12.6,82.9,low,sometimes,yes,5.9,yes,C
female,group A,some high school,completed,59,85,80,74.67,10.3,100.0,medium,often,yes,7.3,yes,C
male,group B,some college,none,41,39,34,38.0,9.1,79.2,medium,sometimes,no,6.7,yes,D
female,group C,some college,none,62,67,62,63.67,5.7,83.1,high,sometimes,no,7.6,no,D
male,group C,bachelor's degree,none,86,83,86,85.0,19.8,89.1,high,often,yes,7.7,yes,A
male,group C,some high school,none,69,71,65,68.33,8.1,95.9,medium,rarely,no,7.2,yes,B
male,group A,some high school,none,65,59,53,59.0,13.4,92.1,medium,sometimes,no,6.2,yes,F
male,group C,some high school,none,68,63,54,61.67,12.6,89.4,medium,sometimes,yes,7.2,no,D
male,group C,associate's degree,none,64,66,59,63.0,8.4,91.6,low,often,no,7.3,no,C
female,group C,high school,none,61,72,70,67.67,10.9,83.6,medium,sometimes,no,6.7,no,B
male,group C,high school,none,61,56,55,57.33,10.0,92.9,medium,sometimes,yes,5.3,yes,D
female,group A,some high school,none,47,59,50,52.0,3.4,91.4,medium,sometimes,no,5.3,yes,D
male,group C,some high school,none,73,66,66,68.33,11.1,96.8,high,often,no,7.1,yes,C
male,group C,some college,completed,50,48,53,50.33,3.2,88.2,low,sometimes,no,6.2,yes,C
male,group D,associate's degree,none,75,68,64,69.0,5.3,91.5,low,sometimes,no,7.8,yes,C
male,group D,associate's degree,none,75,66,73,71.33,18.6,100.0,low,always,yes,7.6,no,A
male,group C,high school,none,70,56,51,59.0,14.0,92.1,high,sometimes,no,5.1,yes,C
male,group D,some high school,completed,89,88,82,86.33,34.5,100.0,high,always,yes,7.8,yes,A
female,group C,some college,completed,67,81,79,75.67,12.3,94.6,medium,sometimes,yes,7.3,no,B
female,group D,high school,none,78,81,80,79.67,19.7,95.4,medium,always,yes,7.6,yes,A
female,group A,some high school,none,59,73,69,67.0,7.6,89.4,medium,rarely,yes,7.6,yes,C
female,group B,associate's degree,none,73,83,76,77.33,18.6,88.9,low,often,yes,8.1,no,A
male,group A,some high school,none,79,82,73,78.0,15.8,96.1,low,always,yes,8.0,yes,B
female,group C,some high school,completed,67,74,77,72.67,13.1,100.0,low,often,no,7.5,yes,B
male,group D,some college,none,69,66,60,65.0,12.8,98.9,medium,sometimes,no,8.0,no,C
male,group C,high school,completed,86,81,80,82.33,12.0,97.2,high,often,yes,8.7,yes,B
male,group B,high school,none,47,46,42,45.0,5.3,81.6,low,sometimes,yes,5.4,no,C
male,group B,associate's degree,none,81,73,72,75.33,15.7,96.7,medium,always,yes,8.1,yes,B
female,group C,some college,completed,64,85,85,78.0,11.4,97.4,low,often,yes,7.4,no,B
female,group E,some college,none,100,92,97,96.33,33.5,100.0,high,often,yes,8.6,yes,A
female,group C,associate's degree,none,65,77,74,72.0,15.6,100.0,high,sometimes,no,6.4,yes,C
male,group C,some college,none,65,58,49,57.33,7.5,84.4,low,often,no,6.3,yes,C
female,group C,associate's degree,none,53,61,62,58.67,9.6,86.6,low,sometimes,no,5.1,yes,C
male,group C,bachelor's degree,none,37,56,47,46.67,3.9,93.7,low,rarely,no,5.3,yes,D
female,group D,bachelor's degree,none,79,89,89,85.67,26.9,100.0,high,always,no,7.3,yes,A
male,group D,associate's degree,none,53,54,48,51.67,4.7,87.4,medium,sometimes,no,6.0,yes,C
female,group E,bachelor's degree,none,100,100,100,100.0,26.0,100.0,high,often,yes,7.9,yes,A
male,group B,high school,completed,72,65,68,68.33,12.2,85.0,medium,sometimes,yes,6.8,no,C
male,group C,bachelor's degree,none,53,58,55,55.33,12.5,81.0,medium,sometimes,no,6.1,no,D
male,group B,some college,none,54,54,45,51.0,2.5,77.4,high,rarely,no,5.5,yes,C
female,group E,some college,none,71,70,76,72.33,19.6,97.5,high,often,no,7.4,yes,C
female,group C,some college,none,77,90,91,86.0,33.9,100.0,high,always,yes,8.9,yes,B
male,group A,bachelor's degree,completed,75,58,62,65.0,12.1,94.1,high,sometimes,yes,6.2,yes,C
female,group C,some college,none,84,87,91,87.33,21.9,100.0,high,often,yes,8.9,yes,A
female,group D,associate's degree,none,26,31,38,31.67,3.3,82.5,low,sometimes,no,6.0,yes,D
male,group A,high school,completed,72,67,65,68.0,11.6,97.7,high,sometimes,no,7.6,yes,B
female,group A,high school,completed,77,88,85,83.33,10.1,92.0,high,often,yes,8.8,no,B
male,group C,some college,none,91,74,76,80.33,13.1,100.0,high,sometimes,yes,7.7,yes,B
female,group C,associate's degree,completed,83,85,90,86.0,17.4,100.0,high,always,yes,7.6,yes,A
female,group C,high school,none,63,69,74,68.67,6.6,85.2,medium,often,yes,7.5,yes,D
female,group C,associate's degree,completed,68,86,84,79.33,18.2,97.8,medium,always,yes,7.7,yes,C
female,group D,some high school,none,59,67,61,62.33,13.0,82.9,medium,sometimes,yes,8.0,yes,B
female,group B,associate's degree,completed,90,90,91,90.33,26.9,100.0,medium,always,yes,7.2,yes,A
female,group D,bachelor's degree,completed,71,76,83,76.67,13.0,100.0,high,always,yes,8.9,yes,B
male,group E,bachelor's degree,completed,76,62,66,68.0,5.5,83.7,medium,sometimes,yes,7.2,yes,C
male,group D,associate's degree,none,80,68,72,73.33,13.6,100.0,high,often,yes,6.7,no,B
female,group D,master's degree,none,55,64,70,63.0,7.1,82.7,medium,sometimes,no,6.4,yes,D
male,group E,associate's degree,none,76,71,67,71.33,18.2,91.5,medium,often,no,6.2,no,B
male,group B,high school,completed,73,71,68,70.67,15.3,84.2,medium,often,yes,7.3,no,B
female,group D,associate's degree,none,52,59,56,55.67,12.1,79.9,medium,rarely,no,6.9,yes,C
male,group C,some college,none,68,68,61,65.67,8.5,92.9,medium,often,no,7.2,yes,C
male,group A,high school,none,59,52,46,52.33,2.8,84.5,medium,sometimes,no,5.1,yes,C
female,group B,associate's degree,none,49,52,54,51.67,3.3,93.8,low,rarely,yes,6.8,yes,C
male,group C,high school,none,70,74,71,71.67,15.0,98.5,high,often,no,7.9,no,B
male,group D,some college,none,61,47,56,54.67,7.0,86.3,medium,rarely,no,5.9,yes,F
female,group C,associate's degree,none,60,75,74,69.67,6.5,99.9,medium,often,no,6.8,no,C
male,group B,some high school,completed,64,53,57,58.0,13.4,89.0,medium,sometimes,no,5.7,yes,C
male,group A,associate's degree,completed,79,82,82,81.0,10.1,100.0,high,often,no,7.7,yes,B
female,group A,associate's degree,none,65,85,76,75.33,19.5,93.1,high,often,no,7.1,yes,B
female,group C,associate's degree,none,64,64,70,66.0,11.9,84.4,high,rarely,no,6.4,yes,C
female,group C,some college,none,83,83,90,85.33,23.3,91.6,medium,always,no,8.8,yes,A
female,group C,bachelor's degree,none,81,88,90,86.33,17.0,89.1,high,always,yes,7.5,yes,B
female,group B,high school,none,54,64,68,62.0,14.7,83.4,low,often,no,6.8,yes,B
male,group D,high school,completed,68,64,66,66.0,10.7,89.9,low,sometimes,yes,7.6,yes,B
female,group C,some college,none,54,48,52,51.33,6.7,85.1,high,rarely,yes,6.4,yes,F
female,group D,some college,completed,59,78,76,71.0,13.7,94.7,low,often,no,7.6,yes,B
female,group B,some high school,none,66,69,68,67.67,13.2,100.0,low,sometimes,yes,7.7,yes,C
male,group E,some college,none,76,71,72,73.0,17.5,85.4,medium,often,yes,6.8,yes,A
female,group D,master's degree,none,74,79,82,78.33,15.7,100.0,high,sometimes,yes,7.5,yes,B
female,group B,associate's degree,completed,94,87,92,91.0,28.6,91.5,medium,always,yes,7.4,yes,A
male,group C,some college,none,63,61,54,59.33,13.9,97.7,low,sometimes,no,5.5,yes,F
female,group E,associate's degree,completed,95,89,92,92.0,28.5,100.0,high,often,no,7.7,yes,A
female,group D,master's degree,none,40,59,54,51.0,2.6,96.9,low,sometimes,no,6.6,yes,D
female,group B,some high school,none,82,82,80,81.33,18.7,92.9,high,always,yes,7.9,yes,A
male,group A,high school,none,68,70,66,68.0,13.5,86.7,high,sometimes,no,7.1,yes,B
male,group B,bachelor's degree,none,55,59,54,56.0,13.2,79.5,high,often,yes,5.4,yes,C
male,group C,master's degree,none,79,78,77,78.0,18.7,88.1,low,always,yes,8.7,yes,B
female,group C,bachelor's degree,none,86,92,87,88.33,26.9,100.0,high,always,yes,7.6,yes,A
male,group D,some college,none,76,71,73,73.33,16.9,89.1,medium,always,yes,6.1,yes,B
male,group A,some high school,none,64,50,43,52.33,8.8,78.3,medium,rarely,no,6.9,yes,D
male,group D,some high school,none,62,49,52,54.33,2.1,79.7,low,rarely,no,5.9,yes,C
female,group B,some high school,completed,54,61,62,59.0,8.0,92.9,high,rarely,no,6.2,yes,D
female,group B,master's degree,completed,77,97,94,89.33,16.4,91.6,high,always,no,7.8,yes,B
female,group C,some high school,completed,76,87,85,82.67,12.9,98.1,high,always,no,8.4,yes,B
female,group D,some college,none,74,89,84,82.33,13.0,87.5,high,often,yes,8.3,yes,A
female,group E,some college,completed,66,74,73,71.0,17.3,90.1,medium,often,yes,6.3,yes,C
female,group D,some high school,completed,66,78,78,74.0,19.2,97.7,low,often,no,7.6,yes,A
female,group B,high school,completed,67,78,79,74.67,17.1,92.0,medium,sometimes,no,7.7,no,B
male,group D,some college,none,71,49,52,57.33,10.1,80.8,medium,sometimes,no,5.8,yes,C
female,group C,associate's degree,none,91,86,84,87.0,21.3,90.9,medium,always,yes,8.1,no,B
male,group D,bachelor's degree,none,69,58,57,61.33,10.8,96.7,low,sometimes,no,7.3,yes,C
male,group C,master's degree,none,54,59,50,54.33,3.1,90.8,low,rarely,no,6.4,yes,F
male,group C,high school,completed,53,52,49,51.33,6.0,91.7,medium,rarely,yes,5.6,yes,D
male,group E,some college,none,68,60,59,62.33,13.5,84.7,low,often,yes,7.0,yes,C
male,group C,some high school,completed,56,61,60,59.0,5.9,80.8,low,sometimes,no,5.5,yes,F
female,group C,high school,none,36,53,43,44.0,2.3,84.6,low,rarely,yes,6.2,no,F
female,group D,bachelor's degree,none,29,41,47,39.0,6.7,87.6,low,sometimes,no,5.4,yes,D
female,group C,associate's degree,none,62,74,70,68.67,8.6,100.0,low,sometimes,yes,7.5,yes,C
female,group C,associate's degree,completed,68,67,73,69.33,11.8,91.0,high,sometimes,no,7.9,yes,B
female,group C,some high school,none,47,54,53,51.33,6.7,96.5,low,rarely,yes,6.0,yes,D
male,group E,associate's degree,completed,62,61,58,60.33,15.0,89.1,low,sometimes,yes,7.8,yes,C
female,group E,associate's degree,completed,79,88,94,87.0,28.2,97.8,high,often,no,8.9,yes,B
male,group B,high school,completed,73,69,68,70.0,11.5,92.9,medium,often,no,6.7,yes,B
female,group C,bachelor's degree,completed,66,83,83,77.33,11.6,100.0,medium,sometimes,yes,8.2,no,B
male,group C,associate's degree,completed,51,60,58,56.33,8.5,94.8,medium,rarely,no,6.8,yes,C
female,group D,high school,none,51,66,62,59.67,6.4,82.9,medium,sometimes,yes,6.9,yes,D
male,group E,bachelor's degree,completed,85,66,71,74.0,18.3,86.3,medium,always,no,7.6,yes,C
male,group A,associate's degree,completed,97,92,86,91.67,17.5,100.0,high,often,no,7.1,yes,A
male,group C,high school,completed,75,69,68,70.67,15.8,100.0,medium,often,no,7.9,yes,C
male,group D,associate's degree,completed,79,82,80,80.33,10.9,100.0,high,sometimes,yes,8.3,yes,A
female,group C,associate's degree,none,81,77,79,79.0,16.0,100.0,medium,often,yes,7.1,no,C
female,group D,associate's degree,none,82,95,89,88.67,26.8,96.6,high,always,no,8.3,yes,A
female,group D,master's degree,none,64,63,66,64.33,9.1,100.0,medium,sometimes,yes,7.3,yes,B
male,group E,some high school,completed,78,83,80,80.33,10.6,98.9,high,often,yes,8.3,yes,A
female,group A,some high school,completed,92,100,97,96.33,18.3,95.8,high,always,yes,7.8,yes,A
male,group C,high school,completed,72,67,64,67.67,8.8,99.3,low,sometimes,yes,6.1,yes,C
female,group C,high school,none,62,67,64,64.33,13.8,92.6,high,rarely,yes,6.1,yes,C
male,group C,master's degree,none,79,72,69,73.33,16.5,85.4,high,always,yes,6.2,yes,A
male,group C,some high school,none,79,76,65,73.33,11.2,94.8,medium,often,no,7.4,no,A
male,group B,bachelor's degree,completed,87,90,88,88.33,22.6,100.0,medium,often,yes,8.3,yes,A
female,group B,associate's degree,none,40,48,50,46.0,5.3,75.8,low,rarely,yes,6.9,yes,D
male,group D,some college,none,77,62,64,67.67,8.2,90.4,medium,rarely,yes,7.6,yes,C
male,group E,associate's degree,none,53,45,40,46.0,5.8,93.8,low,rarely,yes,6.6,no,C
female,group C,some college,none,32,39,33,34.67,9.0,88.2,low,rarely,no,7.0,yes,D
female,group C,associate's degree,completed,55,72,79,68.67,8.3,97.5,medium,sometimes,no,7.6,no,B
male,group C,master's degree,none,61,67,66,64.67,11.9,84.4,medium,sometimes,no,7.0,no,B
female,group B,associate's degree,none,53,70,70,64.33,11.8,89.4,low,rarely,no,7.8,no,D
male,group D,some high school,none,73,66,62,67.0,7.1,89.4,medium,sometimes,no,6.7,yes,C
female,group D,some college,completed,74,75,79,76.0,11.6,94.8,medium,often,yes,8.5,yes,B
female,group C,some college,none,63,74,74,70.33,17.8,94.7,medium,always,no,7.6,yes,B
male,group C,bachelor's degree,completed,96,90,92,92.67,24.8,93.6,high,always,yes,8.0,yes,A
female,group D,some college,completed,63,80,80,74.33,15.0,90.5,high,sometimes,no,7.9,yes,B
male,group B,bachelor's degree,none,48,51,46,48.33,2.7,88.6,low,rarely,no,6.8,yes,C
male,group B,associate's degree,none,48,43,45,45.33,8.9,86.7,medium,rarely,no,5.9,yes,F
female,group E,bachelor's degree,completed,92,100,100,97.33,26.4,96.1,high,often,yes,7.6,yes,A
female,group D,master's degree,completed,61,71,78,70.0,14.3,95.6,low,sometimes,yes,7.0,yes,B
male,group B,high school,none,63,48,47,52.67,5.2,93.8,low,sometimes,no,6.6,no,C
male,group D,bachelor's degree,none,68,68,67,67.67,6.5,100.0,medium,sometimes,no,7.4,no,D
male,group B,some college,completed,71,75,70,72.0,17.2,89.7,high,sometimes,yes,7.8,yes,B
male,group A,bachelor's degree,none,91,96,92,93.0,17.8,100.0,high,always,yes,8.5,yes,A
female,group C,some college,none,53,62,56,57.0,9.1,83.2,high,sometimes,no,5.6,yes,D
female,group C,high school,completed,50,66,64,60.0,11.9,99.3,low,rarely,no,7.5,yes,C
female,group E,high school,none,74,81,71,75.33,15.0,91.4,medium,always,no,7.5,yes,B
male,group A,associate's degree,completed,40,55,53,49.33,3.6,92.1,medium,rarely,no,6.8,no,C
male,group A,some college,completed,61,51,52,54.67,9.7,85.8,low,rarely,no,5.2,yes,D
female,group B,high school,none,81,91,89,87.0,31.2,100.0,high,always,no,8.5,yes,A
female,group B,some college,completed,48,56,58,54.0,9.6,91.7,low,rarely,no,6.0,yes,D
female,group D,master's degree,none,53,61,68,60.67,13.0,97.5,low,often,yes,7.3,yes,D
female,group D,some high school,none,81,97,96,91.33,33.9,96.7,high,often,no,8.5,yes,A
female,group E,some high school,none,77,79,80,78.67,18.7,89.6,low,always,yes,8.7,yes,A
female,group D,bachelor's degree,none,63,73,78,71.33,18.4,94.8,low,always,no,7.2,yes,C
female,group D,associate's degree,completed,73,75,80,76.0,18.3,99.5,low,always,yes,8.4,yes,C
female,group D,some college,none,69,77,77,74.33,17.3,87.0,medium,always,yes,7.9,yes,B
female,group C,associate's degree,none,65,76,76,72.33,12.7,89.1,high,often,no,6.8,yes,A
female,group A,high school,none,55,73,73,67.0,10.4,100.0,medium,sometimes,yes,7.0,yes,D
female,group C,bachelor's degree,none,44,63,62,56.33,10.1,88.9,low,often,yes,5.1,yes,D
